logtype	measures	testIndex	trainP	trainR	trainF	trainT	testP	testR	testF	testT	linkspec	dataset
log	jaccard	0	0.7509293680297398	0.20466058763931105	0.32165605095541405	19163.0	0.9444444444444444	0.15454545454545454	0.265625	3.0	"OR(jaccard(x.name,y.name)|0.60,jaccard(x.name,y.description)|0.60)|0"	ABTBUY
log	jarowinkler	0	0.24765868886576484	0.48226950354609927	0.32726022688209006	19734.0	0.7638888888888888	0.5	0.6043956043956044	1556.0	"OR(OR(jarowinkler(x.name,y.name)|0.83,jarowinkler(x.name,y.description)|0.83)|0,jarowinkler(x.description,y.name)|0.83)|0"	ABTBUY
log	jaro	0	0.5212121212121212	0.17426545086119555	0.2611996962794229	3014.0	0.9375	0.13636363636363635	0.2380952380952381	111.0	"jaro(x.name,y.name)|0.80"	ABTBUY
log	soundex	0	0.07979626485568761	0.3333333333333333	0.12876712328767123	45079.0	0.44660194174757284	0.41818181818181815	0.43192488262910794	2.0	"OR(soundex(x.description,y.name)|1.00,soundex(x.description,y.description)|1.00)|0"	ABTBUY
log	mongeelkan	0	0.42913385826771655	0.331306990881459	0.37392795883361923	18422.0	0.8611111111111112	0.2818181818181818	0.4246575342465754	603.0	"mongeelkan(x.name,y.name)|0.80"	ABTBUY
log	levenstein	0	1.0	0.010131712259371834	0.020060180541624874	18817.0	0.0	0.0	0.0	4.0	"levenstein(x.name,y.name)|1.00"	ABTBUY
log	ratcliffobershelp	0	0.36219640971488914	0.3475177304964539	0.3547052740434333	18623.0	0.8043478260869565	0.33636363636363636	0.47435897435897434	3839.0	"OR(OR(OR(ratcliffobershelp(x.name,y.name)|0.70,ratcliffobershelp(x.description,y.description)|0.60)|0,ratcliffobershelp(x.description,y.name)|0.60)|0,ratcliffobershelp(x.name,y.description)|0.60)|0"	ABTBUY
log	trigrams	0	0.3758921490880254	0.48024316109422494	0.42170818505338076	18862.0	0.859375	0.5	0.632183908045977	6.0	"OR(OR(trigrams(x.name,y.name)|0.60,trigrams(x.name,y.description)|0.60)|0,trigrams(x.description,y.name)|0.60)|0"	ABTBUY
log	exactmatch	0	1.0	0.010131712259371834	0.020060180541624874	17370.0	0.0	0.0	0.0	2.0	"exactmatch(x.name,y.name)|1.00"	ABTBUY
best	trigrams	0	0.3758921490880254	0.48024316109422494	0.42170818505338076	18862.0	0.859375	0.5	0.632183908045977	6.0	"OR(OR(trigrams(x.name,y.name)|0.60,trigrams(x.name,y.description)|0.60)|0,trigrams(x.description,y.name)|0.60)|0"	ABTBUY
log	trigrams,jaccard	0	0.38978723404255317	0.46403242147923	0.42368177613320995	17892.0	0.859375	0.5	0.632183908045977	6.0	"OR(OR(trigrams(x.name,y.name)|0.60,jaccard(x.name,y.description)|0.60)|0,trigrams(x.description,y.name)|0.60)|0"	ABTBUY
log	trigrams,jarowinkler	0	0.373933281613654	0.48834853090172237	0.4235500878734622	17656.0	0.8615384615384616	0.509090909090909	0.64	1130.0	"OR(OR(OR(trigrams(x.name,y.name)|0.60,trigrams(x.name,y.description)|0.60)|0,jarowinkler(x.description,y.name)|0.83)|0,trigrams(x.description,y.name)|0.60)|0"	ABTBUY
log	trigrams,jaro	0	0.37023186237845923	0.5015197568389058	0.42598967297762474	10192.0	0.8636363636363636	0.5181818181818182	0.6477272727272728	115.0	"OR(OR(OR(trigrams(x.name,y.name)|0.60,jaro(x.name,y.name)|0.80)|0,trigrams(x.name,y.description)|0.60)|0,trigrams(x.description,y.name)|0.60)|0"	ABTBUY
log	trigrams,soundex	0	0.3758921490880254	0.48024316109422494	0.42170818505338076	25288.0	0.859375	0.5	0.632183908045977	6.0	"OR(OR(trigrams(x.name,y.name)|0.60,trigrams(x.name,y.description)|0.60)|0,trigrams(x.description,y.name)|0.60)|0"	ABTBUY
log	trigrams,mongeelkan	0	0.35989196488858877	0.5400202634245187	0.43192868719611016	18131.0	0.8450704225352113	0.5454545454545454	0.6629834254143646	1268.0	"OR(DIFF(OR(OR(trigrams(x.name,y.name)|0.60,mongeelkan(x.name,y.name)|0.80)|0,trigrams(x.name,y.description)|0.60)|0,mongeelkan(x.price,y.name)|0.60)|0,mongeelkan(x.name,y.name)|0.80)|0"	ABTBUY
log	trigrams,levenstein	0	0.3758921490880254	0.48024316109422494	0.42170818505338076	17852.0	0.859375	0.5	0.632183908045977	6.0	"OR(OR(trigrams(x.name,y.name)|0.60,trigrams(x.name,y.description)|0.60)|0,trigrams(x.description,y.name)|0.60)|0"	ABTBUY
log	trigrams,ratcliffobershelp	0	0.3683098591549296	0.5298885511651469	0.43456584960531786	18299.0	0.8405797101449275	0.5272727272727272	0.6480446927374302	1025.0	"OR(OR(OR(OR(trigrams(x.name,y.name)|0.60,ratcliffobershelp(x.name,y.name)|0.70)|0,trigrams(x.name,y.description)|0.60)|0,ratcliffobershelp(x.description,y.name)|0.60)|0,trigrams(x.description,y.name)|0.60)|0"	ABTBUY
log	trigrams,exactmatch	0	0.3758921490880254	0.48024316109422494	0.42170818505338076	17899.0	0.859375	0.5	0.632183908045977	6.0	"OR(OR(trigrams(x.name,y.name)|0.60,trigrams(x.name,y.description)|0.60)|0,trigrams(x.description,y.name)|0.60)|0"	ABTBUY
best	trigrams,mongeelkan	0	0.35989196488858877	0.5400202634245187	0.43192868719611016	18131.0	0.8450704225352113	0.5454545454545454	0.6629834254143646	1268.0	"OR(DIFF(OR(OR(trigrams(x.name,y.name)|0.60,mongeelkan(x.name,y.name)|0.80)|0,trigrams(x.name,y.description)|0.60)|0,mongeelkan(x.price,y.name)|0.60)|0,mongeelkan(x.name,y.name)|0.80)|0"	ABTBUY
log	trigrams,mongeelkan,jaccard	0	0.3695496783416726	0.5238095238095238	0.43336127409891034	18062.0	0.8450704225352113	0.5454545454545454	0.6629834254143646	1275.0	"OR(DIFF(OR(OR(trigrams(x.name,y.name)|0.60,mongeelkan(x.name,y.name)|0.80)|0,jaccard(x.name,y.description)|0.60)|0,mongeelkan(x.price,y.name)|0.60)|0,mongeelkan(x.name,y.name)|0.80)|0"	ABTBUY
