logtype	measures	testIndex	trainP	trainR	trainF	trainT	testP	testR	testF	testT	linkspec	dataset
log	jaccard	0	0.0	0.0	0.0	1112.0	0.8536585365853658	0.19143117593436645	0.3127326880119136	2.0	"OR(OR(jaccard(x.name,y.name)|0.60,jaccard(x.name,y.description)|0.60)|0,jaccard(x.description,y.name)|0.60)|0"	ABTBUY
log	jarowinkler	0	0.0	0.0	0.0	1441.0	0.7369439071566731	0.3473108477666363	0.47211895910780666	1.0	"OR(OR(OR(OR(jarowinkler(x.name,y.name)|0.83,jarowinkler(x.name,y.description)|0.83)|0,jarowinkler(x.description,y.name)|0.83)|0,jarowinkler(x.description,y.description)|0.83)|0,jarowinkler(x.price,y.description)|0.83)|0"	ABTBUY
log	jaro	0	0.0	0.0	0.0	260.0	0.6495575221238938	0.33454876937101186	0.4416365824308063	2.0	"OR(DIFF(DIFF(jaro(x.name,y.name)|0.70,jaro(x.name,y.description)|0.70)|0,jaro(x.description,y.description)|0.70)|0,jaro(x.price,y.description)|0.60)|0"	ABTBUY
log	soundex	0	0.0	0.0	0.0	1641.0	0.07340770061173084	0.18596171376481313	0.10526315789473684	3.0	"DIFF(soundex(x.description,y.name)|1.00,soundex(x.price,y.price)|1.00)|0"	ABTBUY
log	mongeelkan	0	0.0	0.0	0.0	1806.0	0.9246935201401051	0.4813126709206928	0.6330935251798561	1.0	"DIFF(DIFF(OR(mongeelkan(x.name,y.name)|0.70,mongeelkan(x.description,y.description)|0.60)|0,mongeelkan(x.price,y.description)|0.60)|0,mongeelkan(x.price,y.name)|0.60)|0"	ABTBUY
log	levenstein	0	0.0	0.0	0.0	754.0	1.0	0.009115770282588878	0.018066847335140017	0.0	"levenstein(x.name,y.name)|1.00"	ABTBUY
log	ratcliffobershelp	0	0.0	0.0	0.0	1479.0	0.7879464285714286	0.3217866909753874	0.456957928802589	1.0	"OR(OR(OR(OR(ratcliffobershelp(x.name,y.name)|0.60,ratcliffobershelp(x.price,y.description)|0.60)|0,ratcliffobershelp(x.description,y.name)|0.60)|0,ratcliffobershelp(x.description,y.description)|0.60)|0,ratcliffobershelp(x.name,y.description)|0.60)|0"	ABTBUY
log	trigrams	0	0.0	0.0	0.0	1167.0	0.7201210287443268	0.43391066545123064	0.5415244596131968	1.0	"OR(OR(OR(trigrams(x.name,y.name)|0.60,trigrams(x.name,y.description)|0.60)|0,trigrams(x.description,y.name)|0.60)|0,trigrams(x.price,y.description)|0.60)|0"	ABTBUY
log	exactmatch	0	0.0	0.0	0.0	751.0	1.0	0.009115770282588878	0.018066847335140017	0.0	"exactmatch(x.name,y.name)|1.00"	ABTBUY
best	mongeelkan	0	0.0	0.0	0.0	1806.0	0.9246935201401051	0.4813126709206928	0.6330935251798561	1.0	"DIFF(DIFF(OR(mongeelkan(x.name,y.name)|0.70,mongeelkan(x.description,y.description)|0.60)|0,mongeelkan(x.price,y.description)|0.60)|0,mongeelkan(x.price,y.name)|0.60)|0"	ABTBUY
log	mongeelkan,jaccard	0	0.0	0.0	0.0	3687.0	0.9226804123711341	0.48951686417502277	0.6396664681357952	2.0	"OR(DIFF(OR(DIFF(OR(OR(mongeelkan(x.name,y.name)|0.70,mongeelkan(x.description,y.description)|0.60)|0,jaccard(x.name,y.description)|0.60)|0,mongeelkan(x.price,y.name)|0.60)|0,jaccard(x.description,y.name)|0.60)|0,mongeelkan(x.price,y.description)|0.60)|0,jaccard(x.name,y.description)|0.60)|0"	ABTBUY
log	mongeelkan,jarowinkler	0	0.0	0.0	0.0	3294.0	0.7340823970037453	0.35733819507748404	0.48068669527896996	1.0	"OR(OR(OR(OR(OR(jarowinkler(x.name,y.name)|0.83,mongeelkan(x.description,y.name)|0.60)|0,jarowinkler(x.name,y.description)|0.83)|0,jarowinkler(x.description,y.description)|0.83)|0,jarowinkler(x.price,y.description)|0.83)|0,jarowinkler(x.description,y.name)|0.83)|0"	ABTBUY
log	mongeelkan,jaro	0	0.0	0.0	0.0	3094.0	0.6191335740072202	0.31267092069279856	0.4155057540884313	2.0	"DIFF(DIFF(OR(DIFF(DIFF(OR(DIFF(DIFF(OR(jaro(x.name,y.name)|0.70,mongeelkan(x.description,y.name)|0.60)|0,mongeelkan(x.name,y.description)|0.60)|0,jaro(x.name,y.description)|0.70)|0,mongeelkan(x.description,y.name)|0.60)|0,mongeelkan(x.price,y.name)|0.60)|0,mongeelkan(x.price,y.description)|0.60)|0,jaro(x.price,y.description)|0.60)|0,jaro(x.description,y.description)|0.70)|0,jaro(x.name,y.description)|0.70)|0"	ABTBUY
log	mongeelkan,soundex	0	0.0	0.0	0.0	3601.0	0.9246935201401051	0.4813126709206928	0.6330935251798561	1.0	"DIFF(DIFF(OR(mongeelkan(x.name,y.name)|0.70,mongeelkan(x.description,y.description)|0.60)|0,mongeelkan(x.price,y.description)|0.60)|0,mongeelkan(x.price,y.name)|0.60)|0"	ABTBUY
log	mongeelkan,levenstein	0	0.0	0.0	0.0	2554.0	0.9246935201401051	0.4813126709206928	0.6330935251798561	1.0	"DIFF(DIFF(OR(mongeelkan(x.name,y.name)|0.70,mongeelkan(x.description,y.description)|0.60)|0,mongeelkan(x.price,y.description)|0.60)|0,mongeelkan(x.price,y.name)|0.60)|0"	ABTBUY
log	mongeelkan,ratcliffobershelp	0	0.0	0.0	0.0	3834.0	0.8901303538175046	0.4357338195077484	0.5850673194614443	1.0	"DIFF(DIFF(OR(OR(DIFF(OR(mongeelkan(x.name,y.name)|0.70,ratcliffobershelp(x.price,y.description)|0.60)|0,mongeelkan(x.description,y.name)|0.60)|0,mongeelkan(x.description,y.description)|0.60)|0,ratcliffobershelp(x.description,y.name)|0.60)|0,mongeelkan(x.price,y.description)|0.60)|0,mongeelkan(x.price,y.name)|0.60)|0"	ABTBUY
log	mongeelkan,trigrams	0	0.0	0.0	0.0	4041.0	0.9061032863849765	0.5278030993618961	0.6670506912442397	2.0	"OR(OR(DIFF(OR(OR(mongeelkan(x.name,y.name)|0.70,trigrams(x.name,y.name)|0.60)|0,trigrams(x.name,y.description)|0.60)|0,mongeelkan(x.price,y.description)|0.60)|0,trigrams(x.description,y.name)|0.60)|0,trigrams(x.price,y.description)|0.60)|0"	ABTBUY
